שם,אזור,מחיר לילה,מס' יחידות,טלפון,קישור למודעה,אינסטגרם,הערות
נופש באלון 10,ראש פינה,לא אומת,1,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=5695,לא נבדק,"יוקרה: אבן עתיקה, בריכה פרטית + ג'קוזי + סאונה — פרופיל חזק"
וילה תהילה,ראש פינה העתיקה,לא אומת,11,052-9706499,https://www.zimmer.co.il/premium.asp?site_id=2427,לא נבדק,"11 יחידות! מתחם גדול בראש פינה העתיקה — פוטנציאל ריטיינר גבוה"
קסם לנוף כנרת,ראש פינה,לא אומת,2,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=3366,לא נבדק,"וילות בוטיק יוקרתיות, נוף לגולן/כנרת/חרמון"
צימר הנפח,ראש פינה,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/blacksmith-hospitality,לא נבדק,"בריכה פרטית במרפסת של כל סוויטה + בריכה משותפת"
אחוזת המושבה,ראש פינה,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=4883,לא נבדק,
צימר אהבה,ראש פינה,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=6074,לא נבדק,"בקתה מבודדת לזוגות, ג'קוזי ספא גדול בחצר"
נוף פסגות POSH PINA,ראש פינה,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=3349,לא נבדק,
אחוזת אתי,ראש פינה,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=201,לא נבדק,
אחוזת נויה ובצל התאנה,ספסופה (כפר חושן),לא אומת,4,052-9708936,https://www.zimmer.co.il/premium.asp?site_id=3186,לא נבדק,"וילה + 2 בקתות עץ + סוויטת ספא, למרגלות הר מירון"
אחוזת דיימונדס,צפת,לא אומת,3+,052-9708540,https://www.zimmer.co.il/premium.asp?site_id=2952,לא נבדק,"סוויטות גדולות חדשות, ג'קוזי גדול — ברמה גבוהה"
אחוזת הארי,צפת העתיקה,לא אומת,3,052-9126027,https://www.zimmer.co.il/premium.asp?site_id=4640,לא נבדק,"מבנה עתיק משוחזר בלב העיר העתיקה — סיפור ויזואלי מעולה לרילס"
בקתות נוף אורנים,ביריה,לא אומת,3,052-9706721,https://www.zimmer.co.il/premium.asp?site_id=2247,לא נבדק,"3 בקתות מול צפת, בריכה + ג'קוזי חם גדול נוף להרי הגליל"
בקתה בצל ההר,ביריה,לא אומת,לא אומת,050-8616675,https://www.zimmer.co.il/premium.asp?site_id=1464,לא נבדק,"ליד עמוקה, ג'קוזי"
נעמת הגליל,טפחות,לא אומת,2,052-9125733,https://www.zimmer.co.il/premium.asp?site_id=5933,לא נבדק,"2 סוויטות מאובזרות"
אמיר חדרי אירוח,ארבל,לא אומת,7,050-7898500,https://www.zimmer.co.il/premium.asp?site_id=2473,לא נבדק,"7 יחידות: 4 בקתות עץ זוגיות + 3 משפחתיות"
שמיים וארץ סוויטות,אמירים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=1710,לא נבדק,"סוויטות בסגנון ייחודי"
נוף באמירים אירוח וספא דליה,אמירים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=46,לא נבדק,
בקתת אבן אידיליה,אמירים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=2222,לא נבדק,"בקתת אבן — ויזואל חזק"
צימר לבנדר love&dare,אמירים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=5830,לא נבדק,
לוין נוף מרהיב,אמירים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=924,לא נבדק,"בקתות עץ + בריכה + ג'קוזי, נוף מרהיב"
פנינה בפינה,קצרין,לא אומת,לא אומת,052-9706821,https://www.zimmer.co.il/premium.asp?site_id=5076,לא נבדק,"חדרי אירוח ברמה"
צימרים מעיין,קצרין,לא אומת,לא אומת,052-9706796,https://www.zimmer.co.il/premium.asp?site_id=4178,לא נבדק,
ניחוחות פרובנס,חד נס,לא אומת,לא אומת,052-9706636,https://www.zimmer.co.il/premium.asp?site_id=4171,לא נבדק,"סוויטות בוטיק בסגנון פרובנס — קונספט ויזואלי מובחן"
קסם ברמה,חד נס,לא אומת,4,052-9706999,https://www.zimmer.co.il/premium.asp?site_id=1001,לא נבדק,"4 סוויטות דלוקס + בריכת שחייה פרטית"
אחוזת זכרונות מאפריקה,חד נס,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=1004,לא נבדק,"קונספט אפריקאי ייחודי — סיפור מעולה לרילס"
הום צימר,חד נס,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=4115,לא נבדק,"מדורג גבוה בביקורות"
בקתות נוף כנרת,חד נס,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=1745,לא נבדק,"בריכה מחוממת גדולה + ספא, גינה משותפת עם מנגל"
חדרי גולן,רמות,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=730,לא נבדק,"בתי נופש מול הכנרת"
בקתות עדן רמות,רמות,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=972,לא נבדק,"מיקום מעולה, נוף לכנרת"
